character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Ater,Stormrage,2022-10-05,06:23:28,Tazavesh: Streets of Wonder,STRT,22,1,161.3,0:34:50,2090769,2340999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8772637-22-tazavesh-streets-of-wonder
Ater,Stormrage,2022-10-05,02:08:21,Iron Docks,ID,20,1,151.3,0:26:57,1617642,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8762335-20-iron-docks
Ater,Stormrage,2022-10-04,08:52:23,Return to Karazhan: Lower,LOWR,20,1,151.8,0:35:49,2149488,2520999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8708054-20-return-to-karazhan-lower
Ater,Stormrage,2022-10-02,02:42:32,Tazavesh: Streets of Wonder,STRT,22,1,162.1,0:32:35,1955010,2340999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8545041-22-tazavesh-streets-of-wonder
Ater,Stormrage,2022-10-01,22:43:52,Mechagon Workshop,WORK,18,2,142.9,0:24:42,1482379,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8532427-18-operation-mechagon-workshop
Ater,Stormrage,2022-09-29,02:23:17,Tazavesh: Streets of Wonder,STRT,20,1,151.1,0:35:37,2137636,2340999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8346521-20-tazavesh-streets-of-wonder
Ater,Stormrage,2022-09-28,22:29:34,Iron Docks,ID,19,1,145.3,0:29:22,1762236,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8336641-19-iron-docks
Tauryy,Shattered-Halls,2022-10-26,09:53:35,Iron Docks,ID,15,2,127.7,0:23:30,1410017,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9923563-15-iron-docks
Tauryy,Shattered-Halls,2022-10-22,10:03:20,Iron Docks,ID,20,1,152.3,0:24:33,1473306,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9756888-20-iron-docks
Tauryy,Shattered-Halls,2022-10-21,09:23:28,Iron Docks,ID,20,1,151.8,0:25:46,1546833,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9715429-20-iron-docks
Tauryy,Shattered-Halls,2022-10-21,08:54:00,Return to Karazhan: Upper,UPPR,20,2,153.0,0:26:43,1603658,2100999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9715013-20-return-to-karazhan-upper
Tauryy,Shattered-Halls,2022-10-21,08:21:54,Grimrail Depot,GD,21,2,158.9,0:20:36,1236928,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9714644-21-grimrail-depot
Tauryy,Shattered-Halls,2022-10-13,03:47:53,Iron Docks,ID,17,1,136.6,0:26:15,1575768,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9301744-17-iron-docks
Tauryy,Shattered-Halls,2022-10-10,09:58:46,Grimrail Depot,GD,23,2,168.9,0:20:42,1242372,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9122769-23-grimrail-depot
Tauryy,Shattered-Halls,2022-10-10,09:22:11,Mechagon Workshop,WORK,22,1,162.0,0:26:54,1614169,1920999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9121854-22-operation-mechagon-workshop
Tauryy,Shattered-Halls,2022-10-10,08:40:18,Tazavesh: So'leah's Gambit,GMBT,22,1,162.4,0:24:13,1453283,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9120504-22-tazavesh-soleahs-gambit
Tauryy,Shattered-Halls,2022-10-09,05:03:40,Grimrail Depot,GD,22,0,151.0,0:39:35,2375472,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9036557-22-grimrail-depot
